id,task,seconds,time_percent,file_size,file,format,type,num_seqs,sum_len,min_len,avg_len,max_len
180995,02_job_fastq_filter_chopper,23.4,2.4608524645332266,773.954334,180995.fastq.gz,FASTQ,DNA,168953,939434398,1000,5560.3,94386
180995,03_job_estimate_genome_size_lrge,14.71,1.5469717843283664,773.954334,180995.fastq.gz,FASTQ,DNA,168953,939434398,1000,5560.3,94386
180995,04_job_downsample_filtlong,17.85,1.877188738970859,773.954334,180995.fastq.gz,FASTQ,DNA,168953,939434398,1000,5560.3,94386
180995,05_job_assemble_autocycler,543.55,57.16223748277929,773.954334,180995.fastq.gz,FASTQ,DNA,168953,939434398,1000,5560.3,94386
180995,06_job_polish_medaka,189.45,19.923440145547854,773.954334,180995.fastq.gz,FASTQ,DNA,168953,939434398,1000,5560.3,94386
181000,01_job_remove_adapters_porechop,355.22,25.15954018429459,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181000,02_job_fastq_filter_chopper,45.49,3.2219680282178955,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181000,03_job_estimate_genome_size_lrge,24.78,1.7551190973673212,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181000,04_job_downsample_filtlong,28.22,1.9987675919171028,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181000,05_job_assemble_autocycler,623.1,44.13295841685141,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181000,06_job_polish_medaka,335.06,23.73164668135168,1402.586912,181000.fastq.gz,FASTQ,DNA,321893,1699666171,1000,5280.2,142004
181001,01_job_remove_adapters_porechop,108.04,10.015574013645804,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181001,02_job_fastq_filter_chopper,19.18,1.7780332245624444,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181001,03_job_estimate_genome_size_lrge,14.48,1.342331652328686,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181001,04_job_downsample_filtlong,18.04,1.6723524176802136,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181001,05_job_assemble_autocycler,718.19,66.57798131118363,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181001,06_job_polish_medaka,200.79,18.613727380599226,646.619893,181001.fastq.gz,FASTQ,DNA,140138,787303967,1000,5618.1,96747
181002,01_job_remove_adapters_porechop,301.74,24.28999227202473,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
181002,02_job_fastq_filter_chopper,42.24,3.400309119010819,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
181002,03_job_estimate_genome_size_lrge,22.47,1.8088292117465223,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
181002,04_job_downsample_filtlong,25.83,2.079308346213292,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
181002,05_job_assemble_autocycler,581.23,46.78886527563112,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
181002,06_job_polish_medaka,268.73,21.63269577537352,1406.551889,181002.fastq.gz,FASTQ,DNA,295557,1712606155,1000,5794.5,119081
